start_time, end_time, class, beam, duration_minutes
2022-02-03 02:37:30, 2022-02-03 02:42:30, 3, 2, 5.0
2022-02-03 11:47:30, 2022-02-03 11:52:30, 3, 2, 5.0
2022-02-03 12:07:30, 2022-02-03 12:12:30, 3, 2, 5.0
2022-02-03 21:27:30, 2022-02-03 21:32:30, 3, 2, 5.0
2022-02-03 20:57:30, 2022-02-03 21:02:30, 1, 3, 5.0
2022-02-04 16:22:30, 2022-02-04 16:27:30, 1, 1, 5.0
2022-02-04 00:02:30, 2022-02-04 00:07:30, 1, 2, 5.0
2022-02-04 00:17:30, 2022-02-04 00:27:30, 1, 2, 10.0
2022-02-04 00:42:30, 2022-02-04 02:37:30, 1, 2, 115.0
2022-02-04 02:52:30, 2022-02-04 03:27:30, 1, 2, 35.0
2022-02-04 03:37:30, 2022-02-04 03:52:30, 1, 2, 15.0
2022-02-04 04:07:30, 2022-02-04 04:22:30, 1, 2, 15.0
2022-02-04 04:32:30, 2022-02-04 05:52:30, 1, 2, 80.0
2022-02-04 05:57:30, 2022-02-04 06:12:30, 1, 2, 15.0
2022-02-04 06:17:30, 2022-02-04 08:17:30, 1, 2, 120.0
2022-02-04 08:52:30, 2022-02-04 19:32:30, 1, 2, 640.0
2022-02-04 19:37:30, 2022-02-04 23:57:30, 1, 2, 260.0
2022-02-04 03:52:30, 2022-02-04 04:07:30, 3, 2, 15.0
2022-02-04 19:32:30, 2022-02-04 19:37:30, 3, 2, 5.0
2022-02-05 00:17:30, 2022-02-05 00:32:30, 1, 2, 15.0
2022-02-05 00:37:30, 2022-02-05 01:47:30, 1, 2, 70.0
2022-02-05 01:52:30, 2022-02-05 02:17:30, 1, 2, 25.0
2022-02-05 02:32:30, 2022-02-05 02:57:30, 1, 2, 25.0
2022-02-05 05:47:30, 2022-02-05 05:52:30, 1, 2, 5.0
2022-02-05 06:22:30, 2022-02-05 06:27:30, 1, 2, 5.0
2022-02-05 06:37:30, 2022-02-05 07:07:30, 1, 2, 30.0
2022-02-05 07:32:30, 2022-02-05 07:37:30, 1, 2, 5.0
2022-02-05 07:42:30, 2022-02-05 07:47:30, 1, 2, 5.0
2022-02-05 07:52:30, 2022-02-05 07:57:30, 1, 2, 5.0
2022-02-05 08:42:30, 2022-02-05 08:47:30, 1, 2, 5.0
2022-02-05 08:57:30, 2022-02-05 09:42:30, 1, 2, 45.0
2022-02-05 09:47:30, 2022-02-05 13:17:30, 1, 2, 210.0
2022-02-05 00:02:30, 2022-02-05 00:17:30, 3, 2, 15.0
2022-02-05 00:32:30, 2022-02-05 00:37:30, 3, 2, 5.0
2022-02-05 02:17:30, 2022-02-05 02:32:30, 3, 2, 15.0
2022-02-05 02:57:30, 2022-02-05 05:47:30, 3, 2, 170.0
2022-02-05 05:52:30, 2022-02-05 06:22:30, 3, 2, 30.0
2022-02-05 06:27:30, 2022-02-05 06:37:30, 3, 2, 10.0
2022-02-05 07:07:30, 2022-02-05 07:32:30, 3, 2, 25.0
2022-02-05 13:17:30, 2022-02-05 13:22:30, 3, 2, 5.0
2022-02-06 13:52:30, 2022-02-06 14:02:30, 1, 2, 10.0
2022-02-06 19:57:30, 2022-02-06 20:07:30, 1, 2, 10.0
2022-02-06 20:17:30, 2022-02-06 20:32:30, 1, 2, 15.0
2022-02-06 14:02:30, 2022-02-06 19:57:30, 3, 2, 355.0
2022-02-06 10:02:30, 2022-02-06 10:07:30, 1, 3, 5.0
2022-02-07 03:07:30, 2022-02-07 03:12:30, 3, 3, 5.0
2022-02-08 02:17:30, 2022-02-08 02:27:30, 1, 2, 10.0
2022-02-08 08:17:30, 2022-02-08 08:22:30, 1, 2, 5.0
2022-02-08 04:47:30, 2022-02-08 05:17:30, 3, 2, 30.0
2022-02-08 19:37:30, 2022-02-08 20:02:30, 1, 3, 25.0
2022-02-08 20:07:30, 2022-02-08 20:12:30, 1, 3, 5.0
2022-02-08 20:17:30, 2022-02-08 20:27:30, 1, 3, 10.0
2022-02-08 20:32:30, 2022-02-08 21:22:30, 1, 3, 50.0
2022-02-08 21:27:30, 2022-02-08 23:57:30, 1, 3, 150.0
2022-02-08 20:02:30, 2022-02-08 20:07:30, 3, 3, 5.0
2022-02-08 20:12:30, 2022-02-08 20:17:30, 3, 3, 5.0
2022-02-08 20:27:30, 2022-02-08 20:32:30, 3, 3, 5.0
2022-02-08 21:22:30, 2022-02-08 21:27:30, 3, 3, 5.0
2022-02-09 00:02:30, 2022-02-09 18:32:30, 1, 3, 1110.0
2022-02-09 18:37:30, 2022-02-09 23:57:30, 1, 3, 320.0
2022-02-09 18:32:30, 2022-02-09 18:37:30, 3, 3, 5.0
2022-02-10 00:02:30, 2022-02-10 02:12:30, 1, 3, 130.0
2022-02-10 02:17:30, 2022-02-10 09:37:30, 1, 3, 440.0
2022-02-10 09:47:30, 2022-02-10 23:57:30, 1, 3, 850.0
2022-02-10 02:12:30, 2022-02-10 02:17:30, 3, 3, 5.0
2022-02-10 09:37:30, 2022-02-10 09:47:30, 3, 3, 10.0
2022-02-11 00:02:30, 2022-02-11 21:42:30, 1, 3, 1300.0
2022-02-11 21:47:30, 2022-02-11 23:57:30, 1, 3, 130.0
2022-02-11 21:42:30, 2022-02-11 21:47:30, 3, 3, 5.0
2022-02-12 00:02:30, 2022-02-12 07:42:30, 1, 3, 460.0
2022-02-12 07:47:30, 2022-02-12 23:57:30, 1, 3, 970.0
2022-02-12 07:42:30, 2022-02-12 07:47:30, 3, 3, 5.0
2022-02-12 23:57:30, 2022-02-12 23:57:30, 3, 3, 0.0
2022-02-13 08:52:30, 2022-02-13 08:57:30, 1, 2, 5.0
2022-02-13 00:02:30, 2022-02-13 23:57:30, 1, 3, 1435.0
2022-02-14 00:02:30, 2022-02-14 13:57:30, 1, 3, 835.0
2022-02-14 14:02:30, 2022-02-14 20:42:30, 1, 3, 400.0
2022-02-14 20:47:30, 2022-02-14 23:57:30, 1, 3, 190.0
2022-02-14 13:57:30, 2022-02-14 14:02:30, 3, 3, 5.0
2022-02-14 20:42:30, 2022-02-14 20:47:30, 3, 3, 5.0
2022-02-15 00:02:30, 2022-02-15 00:52:30, 1, 3, 50.0
2022-02-15 00:57:30, 2022-02-15 15:12:30, 1, 3, 855.0
2022-02-15 15:17:30, 2022-02-15 23:57:30, 1, 3, 520.0
2022-02-16 00:02:30, 2022-02-16 01:02:30, 1, 3, 60.0
2022-02-16 01:12:30, 2022-02-16 23:57:30, 1, 3, 1365.0
2022-02-16 01:02:30, 2022-02-16 01:12:30, 3, 3, 10.0
2022-02-17 00:02:30, 2022-02-17 23:57:30, 1, 3, 1435.0
2022-02-18 17:22:30, 2022-02-18 17:27:30, 3, 2, 5.0
2022-02-18 00:02:30, 2022-02-18 05:42:30, 1, 3, 340.0
